,country,designation,points,price,province,region_1,region_2,variety,winery
107,US,,points_86,price_10.0,California,region_1_California,region_2_California Other,Chardonnay,Leaping Horse
108,US,,points_86,price_13.0,California,region_1_California,region_2_California Other,White Blend,Kitchen Sink
109,US,Homestead Block,points_86,price_45.0,California,region_1_Napa Valley,region_2_Napa,Chardonnay,Kuleto Estate
110,Portugal,Companhia das Lezírias Herdade de Catapereiro Single Vineyard,points_86,price_12.0,Tejo,region_1_nan,region_2_nan,Portuguese Red,Wines & Winemakers
111,Argentina,Terroir Único Pinot Noir,points_86,price_12.0,Mendoza Province,region_1_Tupungato,region_2_nan,Rosé,Zorzal
112,US,Limited Release Cold Springs Vineyard,points_86,price_125.0,California,region_1_Howell Mountain,region_2_Napa,Cabernet Sauvignon,Charles Krug
113,US,Castle Hill Vineyard,points_86,price_25.0,New York,region_1_Hudson River Region,region_2_New York Other,Riesling,Millbrook
114,South Africa,Circumstance,points_86,price_20.0,Stellenbosch,region_1_nan,region_2_nan,Sauvignon Blanc,Waterkloof
115,Argentina,Reserva,points_86,price_15.0,Mendoza Province,region_1_Valle de Uco,region_2_nan,Malbec,Viñalba
116,Spain,Dulce Tinto,points_86,price_nan,Levante,region_1_Jumilla,region_2_nan,Monastrell,Casa de la Ermita
117,France,,points_86,price_20.0,Southwest France,region_1_Gaillac,region_2_nan,Rosé,Château Clément Termes
118,France,Il est des nôôôtres!,points_86,price_15.0,Southwest France,region_1_nan,region_2_nan,Gamay,Château Coutinel
119,Portugal,Convento da Vila,points_86,price_7.0,Alentejano,region_1_nan,region_2_nan,Portuguese Red,Adega Cooperativa de Borba
120,US,The Flyer,points_91,price_59.0,California,region_1_Russian River Valley,region_2_Sonoma,Pinot Noir,MacPhail
121,US,Charles Vineyard Clone 05,points_91,price_49.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Foursight
122,US,Solomon Hills Vineyard Rosé,points_91,price_42.0,California,region_1_Santa Maria Valley,region_2_Central Coast,Sparkling Blend,Goat Bubbles
123,US,Paris Tasting Commemorative,points_91,price_93.0,California,region_1_Napa Valley,region_2_Napa,Chardonnay,Grgich Hills
124,US,Methode a l'Ancienne,points_91,price_32.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Navarro
125,US,,points_91,price_20.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Navarro
126,US,Grand Wren,points_90,price_100.0,California,region_1_Amador County,region_2_Sierra Foothills,Zinfandel,Renwood
127,US,Central Park West Vineyard,points_90,price_50.0,California,region_1_St. Helena,region_2_Napa,Cabernet Sauvignon,Trinchero
128,Spain,Arnegui Reserva,points_90,price_22.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo,Pagos del Rey
129,Italy,Chianta Bianco,points_90,price_45.0,Sicily & Sardinia,region_1_Etna,region_2_nan,White Blend,Biondi
130,Italy,,points_90,price_18.0,Southern Italy,region_1_Greco di Tufo,region_2_nan,Greco,Cantine di Marzo
131,US,,points_90,price_45.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Chardonnay,Alexander-Smith
132,US,Cooper Ranch,points_90,price_26.0,California,region_1_Amador County,region_2_Sierra Foothills,Barbera,Andis
133,US,,points_90,price_16.0,California,region_1_Sonoma County,region_2_Sonoma,Chardonnay,Benziger
134,US,Longwood,points_90,price_30.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Beaucanon
135,US,Estate,points_90,price_42.0,California,region_1_Adelaida District,region_2_Central Coast,Grenache,Brecon Estate
136,US,Mustang Springs,points_90,price_38.0,California,region_1_Adelaida District,region_2_Central Coast,Zinfandel,Peachy Canyon
137,US,SMC,points_90,price_48.0,California,region_1_California,region_2_California Other,Rhône-style Red Blend,Three
138,Spain,Crianza,points_90,price_17.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo,Valdelacierva
139,France,Le,points_90,price_18.0,Languedoc-Roussillon,region_1_Coteaux du Languedoc Pic Saint Loup,region_2_nan,Rosé,Château de Lancyre
140,France,,points_90,price_15.0,Bordeaux,region_1_Bordeaux Rosé,region_2_nan,Rosé,Château Suau
141,US,Rte Blanc,points_90,price_28.0,California,region_1_Napa Valley,region_2_Napa,Sauvignon Blanc,Clif Family
142,US,Hook Vineyard,points_90,price_25.0,California,region_1_Santa Lucia Highlands,region_2_Central Coast,Grenache,Santa Cruz Mountain Vineyard
143,US,,points_90,price_26.0,Oregon,region_1_Applegate Valley,region_2_Southern Oregon,Chardonnay,Schmidt
144,US,Jespersen Ranch,points_90,price_24.0,California,region_1_Edna Valley,region_2_Central Coast,Albariño,Stephen Ross
145,US,,points_90,price_55.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Goldeneye
146,US,Estate Grown,points_90,price_36.0,California,region_1_Napa Valley,region_2_Napa,Zinfandel,Grgich Hills
147,Spain,,points_90,price_17.0,Galicia,region_1_Rías Baixas,region_2_nan,Albariño,Mar de Viñas
148,US,,points_90,price_40.0,California,region_1_Sta. Rita Hills,region_2_Central Coast,Syrah,Kessler-Haak
149,US,,points_90,price_28.0,California,region_1_Ballard Canyon,region_2_Central Coast,Malvasia Bianca,Larner
150,US,,points_89,price_50.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Bomb
151,Greece,Kapnias,points_89,price_24.0,Atalanti Valley,region_1_nan,region_2_nan,White Blend,Hatzimichalis
152,Spain,Brut Reserva,points_89,price_17.0,Catalonia,region_1_Cava,region_2_nan,Sparkling Blend,Bohigas
153,Greece,,points_89,price_21.0,Santorini,region_1_nan,region_2_nan,Assyrtiko,Boutari
154,Greece,Axia Malagouzia,points_89,price_18.0,Florina,region_1_nan,region_2_nan,Malagouzia,Alpha Estate
155,Chile,Ecos de Rulo Single Vineyard El Chequén Estate,points_89,price_20.0,Marchigue,region_1_nan,region_2_nan,Carmenère,Viña Bisquertt
156,France,,points_89,price_20.0,Southwest France,region_1_Cahors,region_2_nan,Bordeaux-style Red Blend,Chateau Quattre
157,US,,points_89,price_24.0,Oregon,region_1_Rogue Valley,region_2_Southern Oregon,Sangiovese,Ledger David
158,Spain,Viña Real Gran Reserva,points_89,price_44.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo,CVNE
159,Chile,Fina Reserva Ensamblaje Malbec-Cabernet Sauvignon-Syrah,points_89,price_19.0,Colchagua Valley,region_1_nan,region_2_nan,Red Blend,Estampa
160,US,Range 30 West,points_89,price_42.0,California,region_1_Happy Canyon of Santa Barbara,region_2_Central Coast,Bordeaux-style Red Blend,Foxen 7200
161,US,,points_89,price_35.0,Oregon,region_1_Oregon,region_2_Oregon Other,Pinot Noir,Irvine Family Vineyards
162,Spain,Gaudium,points_89,price_44.0,Northern Spain,region_1_Rioja,region_2_nan,Tempranillo Blend,Marqués de Cáceres
163,US,,points_89,price_16.0,California,region_1_Dunnigan Hills,region_2_Central Valley,Syrah,Matchbook
164,US,Mill Road Vineyard,points_89,price_23.0,California,region_1_Paso Robles,region_2_Central Coast,Viognier,Eberle
165,US,Freedom Hill Vineyard,points_89,price_36.0,Oregon,region_1_Willamette Valley,region_2_Willamette Valley,Pinot Noir,Silvan Ridge
166,Italy,Le Redini,points_89,price_25.0,Tuscany,region_1_Toscana,region_2_nan,Red Blend,Tenuta degli Dei
167,Italy,Il Guardiano,points_89,price_22.0,Tuscany,region_1_Toscana,region_2_nan,Red Blend,Poggio Mandorlo
168,Portugal,,points_89,price_20.0,Douro,region_1_nan,region_2_nan,Touriga Nacional,Quinta das Carvalhas
169,US,Del Arroyo Vineyard,points_89,price_25.0,California,region_1_Livermore Valley,region_2_Central Coast,Chardonnay,Occasio
170,US,,points_89,price_42.0,California,region_1_Sta. Rita Hills,region_2_Central Coast,Pinot Noir,Sanford
171,Chile,Family Collection,points_89,price_30.0,Curicó Valley,region_1_nan,region_2_nan,Cabernet Sauvignon-Cabernet Franc,Santa Alba
172,Greece,,points_89,price_17.0,Nemea,region_1_nan,region_2_nan,Agiorgitiko,Boutari
173,US,Charles Vineyard Clone O5,points_89,price_49.0,California,region_1_Anderson Valley,region_2_Mendocino/Lake Counties,Pinot Noir,Foursight
174,France,Héritages Elevé en Foudres de Chêne,points_89,price_16.0,Rhône Valley,region_1_Côtes du Rhône,region_2_nan,Rhône-style Red Blend,Ogier
175,Spain,Gran Bajoz,points_89,price_30.0,Northern Spain,region_1_Toro,region_2_nan,Tinta de Toro,Pagos del Rey
176,Italy,Palazzo Altesi,points_89,price_40.0,Tuscany,region_1_Toscana,region_2_nan,Sangiovese,Altesino
177,Italy,Il Borgo,points_89,price_57.0,Tuscany,region_1_Toscana,region_2_nan,Red Blend,Cabreo
178,US,Lot 525,points_89,price_29.0,California,region_1_Napa Valley,region_2_Napa,Cabernet Sauvignon,Cameron Hughes
179,Chile,Perla Negra,points_89,price_61.0,Maule Valley,region_1_nan,region_2_nan,Red Blend,Casa Donoso
180,US,,points_88,price_25.0,California,region_1_Sonoma Coast,region_2_Sonoma,Chardonnay,Rodney Strong
181,US,Estate Reserve,points_88,price_25.0,California,region_1_Paso Robles,region_2_Central Coast,Syrah,San Simeon
182,US,Sonatera Vineyard,points_88,price_49.0,California,region_1_Sonoma Coast,region_2_Sonoma,Pinot Noir,Siduri
183,US,Boushey Vineyard,points_88,price_20.0,Washington,region_1_Yakima Valley,region_2_Columbia Valley,Picpoul,Syncline
184,Argentina,Trinità Grand Reserve,points_88,price_26.0,Mendoza Province,region_1_Luján de Cuyo,region_2_nan,Bordeaux-style Red Blend,Piattelli
185,US,Entwined,points_88,price_34.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Bordeaux-style Red Blend,Pondera
186,US,French Camp Vineyard,points_88,price_38.0,California,region_1_Paso Robles,region_2_Central Coast,Zinfandel,Tobin James
187,US,French Camp Vineyard,points_88,price_38.0,California,region_1_Paso Robles,region_2_Central Coast,Zinfandel,Tobin James
188,Spain,Sobre Lías,points_88,price_25.0,Northern Spain,region_1_Valdeorras,region_2_nan,Godello,Valdesil
189,Spain,Negre,points_87,price_22.0,Catalonia,region_1_Montsant,region_2_nan,Red Blend,Jaspi
190,Argentina,Reserve,points_87,price_15.0,Mendoza Province,region_1_Tupungato,region_2_nan,Malbec,Tupun
191,France,,points_87,price_20.0,Bordeaux,region_1_Graves,region_2_nan,Bordeaux-style Red Blend,Château Beauregard Lagupeau
192,France,,points_87,price_25.0,Bordeaux,region_1_Haut-Médoc,region_2_nan,Bordeaux-style Red Blend,Château du Taillan
193,France,,points_87,price_20.0,Bordeaux,region_1_Saint-Estèphe,region_2_nan,Bordeaux-style Red Blend,Château la Haye
194,France,,points_87,price_20.0,Bordeaux,region_1_Fronsac,region_2_nan,Bordeaux-style Red Blend,Château Lalande Mausse
195,France,,points_87,price_25.0,Bordeaux,region_1_Haut-Médoc,region_2_nan,Bordeaux-style Red Blend,Château Magnol
196,US,,points_87,price_10.0,California,region_1_California,region_2_California Other,Chardonnay,Grand Pacific
197,US,Rosé of,points_87,price_18.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Malbec,Hamilton
198,US,Ingle Vineyard Unoaked,points_87,price_18.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Chardonnay,Heron Hill
199,US,Semi-Dry,points_87,price_14.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Riesling,Heron Hill
200,US,Semi-Dry,points_87,price_14.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Riesling,Fox Run
201,US,Ice Wine,points_87,price_40.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Cabernet Franc,Glenora
202,France,,points_87,price_18.0,Bordeaux,region_1_Médoc,region_2_nan,Bordeaux-style Red Blend,Château Roc Taillade
203,France,,points_87,price_20.0,Bordeaux,region_1_Haut-Médoc,region_2_nan,Bordeaux-style Red Blend,Château Sénéjac
204,US,,points_87,price_10.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Gewürztraminer,Chateau Ste. Michelle
205,US,,points_87,price_11.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Merlot,Castle Rock
206,US,,points_87,price_36.0,Washington,region_1_Columbia Valley (WA),region_2_Columbia Valley,Cabernet Sauvignon,Dussek Family Cellars
207,US,,points_87,price_20.0,New York,region_1_Finger Lakes,region_2_Finger Lakes,Cabernet Franc,Serenity
208,US,Weinbau,points_87,price_32.0,Washington,region_1_Wahluke Slope,region_2_Columbia Valley,Grenache,Sol Stone
209,Spain,Yá Cuvée 23 Brut Rosé,points_87,price_18.0,Catalonia,region_1_Cava,region_2_nan,Sparkling Blend,Sumarroca
210,Portugal,Reserva,points_93,price_55.0,Douro,region_1_nan,region_2_nan,Portuguese Red,Poças
211,Italy,Nervo,points_93,price_49.0,Piedmont,region_1_Barbaresco,region_2_nan,Nebbiolo,Rizzi
212,US,Rocky Ridge Vineyard,points_93,price_50.0,California,region_1_Rockpile,region_2_Sonoma,Zinfandel,Robert Biale
213,Italy,Fausoni,points_93,price_58.0,Piedmont,region_1_Barbaresco,region_2_nan,Nebbiolo,Sottimano
214,France,Rosacker Grand Cru,points_93,price_39.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Jean-Luc Mader
215,France,Clos Häuserer Wintzenheim,points_93,price_65.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine Zind-Humbrecht
216,Morocco,Domaine Excelcio,points_93,price_35.0,Guerrouane,region_1_nan,region_2_nan,Syrah-Grenache,Bernard Magrez
217,Italy,,points_93,price_80.0,Piedmont,region_1_Barolo,region_2_nan,Nebbiolo,Borgogno
218,France,Pfingstberg Paradis Grand Cru,points_93,price_42.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Domaine François Schmitt
219,France,Altenberg de Bergheim Grand Cru Vieilles Vignes,points_93,price_61.0,Alsace,region_1_Alsace,region_2_nan,Riesling,Gustave Lorentz
220,US,Collaboration Series VI Ciel du Cheval Vineyard,points_93,price_58.0,Washington,region_1_Red Mountain,region_2_Columbia Valley,G-S-M,Force Majeure
221,US,Hastings Ranch Vineyard,points_93,price_38.0,California,region_1_Paso Robles,region_2_Central Coast,Mourvèdre,Anglim
